"escalated","dataset","arm","model","wi","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
FALSE,"c_proliferum","C","neclin",0.462858129885718,0,0,1.00160539066297,0.310929410110716
FALSE,"c_proliferum","C","ecxlin",0.00757093818239839,0,0,1.00165593908408,0.408518137552802
FALSE,"c_proliferum","C","ecx4param",0.00548860623540043,0,0,1.00193802418644,0.180110527939364
FALSE,"c_proliferum","C","ecxwb1",1.54775797681647e-10,1120,0,1.53378147497977,0.000894969034921385
FALSE,"c_proliferum","C","ecxwb2",0.00668233775490605,0,0,1.0021352454063,0.214995417874903
FALSE,"c_proliferum","C","ecxll5",0.13068450157652,1680,0,1.00463859456768,0.0785026994061353
FALSE,"c_proliferum","C","ecxll4",0.00648459918766719,0,0,1.00121830847322,0.223401393464618
FALSE,"c_proliferum","C2","nec4param",0.391542073029277,0,0,1.00318959017317,0.260451781187616
FALSE,"c_proliferum","C2","neclin",0.48731812972464,0,0,1.00249065036255,0.305243523494762
FALSE,"c_proliferum","C2","ecxlin",0.00581990631532485,0,0,1.00133876626769,0.40727824220425
FALSE,"c_proliferum","C2","ecx4param",0.00422466374620126,0,0,1.00151743248149,0.19866333954458
FALSE,"c_proliferum","C2","ecxwb1",0.00495597773738614,0,0,1.00131967527569,0.224995977263112
FALSE,"c_proliferum","C2","ecxwb2",0.00453412967318547,0,0,1.00238638085268,0.223227700357033
FALSE,"c_proliferum","C2","ecxll5",0.0970141352053552,1641,0,1.00898256508734,0.0863354480211882
FALSE,"c_proliferum","C2","ecxll4",0.00459098456862972,0,0,1.00231345813661,0.203928818572987
FALSE,"c_proliferum","D","nec4param",0.421891084190287,0,0,1.00118034953438,0.290881882257055
FALSE,"c_proliferum","D","neclin",0.404081314654351,0,0,1.0011723884565,0.314648188076923
FALSE,"c_proliferum","D","ecxlin",0.000656779720141947,0,0,1.00082236789219,0.366841088446604
FALSE,"c_proliferum","D","ecx4param",0.000550528996988825,696,0,1.53116618605737,0.000895942888964011
FALSE,"c_proliferum","D","ecxwb1",0.000510794676761166,0,0,1.00188342490386,0.235269621144144
FALSE,"c_proliferum","D","ecxwb2",0.000577408831550203,0,0,1.00191821748379,0.235838845814238
FALSE,"c_proliferum","D","ecxll5",0.171142424767903,1171,0,1.00326958178631,0.113593131597269
FALSE,"c_proliferum","D","ecxll4",0.000589664162016844,0,0,1.00176008034906,0.234248655659004
FALSE,"c_proliferum","SQ","nec3param",0.217635612469975,0,0,1.00121905707257,0.269531243367557
FALSE,"c_proliferum","SQ","nec4param",0.155768423541994,0,0,1.00174618297905,0.289726424982973
FALSE,"c_proliferum","SQ","ecxexp",2.15472429490013e-09,0,0,1.00060829756275,0.377244918067087
FALSE,"c_proliferum","SQ","ecxsigm",0.000380184098102249,0,0,1.00322157084455,0.310276006905511
FALSE,"c_proliferum","SQ","ecx4param",1.99764908224569e-06,777,0,1.15640166299695,0.00242890072277909
FALSE,"c_proliferum","SQ","ecxwb1",6.76504370453433e-08,3407,0,1.67103611359915,0.000799377370743918
FALSE,"c_proliferum","SQ","ecxwb2",0.522356886519135,0,0,1.00185984912883,0.320485637163954
FALSE,"c_proliferum","SQ","ecxwb1p3",2.09584545425847e-37,0,0,1.27856940279704,0.00133564039934545
FALSE,"c_proliferum","SQ","ecxwb2p3",0.00272181237501323,0,0,1.00273503659286,0.149192204873513
FALSE,"c_proliferum","SQ","ecxll5",0.101055822760116,2376,0,1.00351764428354,0.102969209770711
FALSE,"c_proliferum","SQ","ecxll4",5.05720619706288e-06,1440,0,1.24071090160574,0.00165515204424522
FALSE,"c_proliferum","SQ","ecxll3",7.41335752238946e-05,0,0,1.00112923000036,0.335398772223254
FALSE,"c_proliferum2","A","nec4param",1.06753746529588e-07,0,0,1.00189730265719,0.297429840524368
FALSE,"c_proliferum2","A","neclin",0.0541356656546994,0,0,1.00102984910778,0.356643432666379
FALSE,"c_proliferum2","A","ecxlin",2.67910102082843e-27,0,0,1.00099742848833,0.361722228519117
FALSE,"c_proliferum2","A","ecx4param",0.0331040490096245,0,0,1.0038043468814,0.17674068097312
FALSE,"c_proliferum2","A","ecxwb1",0.0186322592929378,0,0,1.00391864377321,0.168535507826571
FALSE,"c_proliferum2","A","ecxwb2",0.777423640873632,0,0,1.00271287309164,0.204611276934983
FALSE,"c_proliferum2","A","ecxll5",0.0801075249661877,0,0,1.00214752517718,0.203827672755063
FALSE,"c_proliferum2","A","ecxll4",0.0365967534491723,0,0,1.00281734812288,0.190343256220282
FALSE,"c_proliferum2","B1","nec4param",0.0015735143012686,0,0,1.00218160329428,0.238924831000191
FALSE,"c_proliferum2","B1","neclin",4.49788774826299e-18,0,0,1.00154821277565,0.387015396089253
FALSE,"c_proliferum2","B1","ecxlin",8.79648897493719e-19,0,0,1.00152954175462,0.374893322683322
FALSE,"c_proliferum2","B1","ecx4param",0.194197433811161,0,0,1.00214018120641,0.346159356498317
