"dataset","arm","model","wi","requested","dropped","dropped_rhat"
"r_salina","B1","ecx4param",0.519887877913828,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3","ecxwb1"
"r_salina","B1","ecxwb2",0.300229757054699,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3","ecxwb1"
"r_salina","B2","nec4param",0.11025373187506,6,"",""
"r_salina","B2","ecx4param",0.15071070968534,6,"",""
"r_salina","B2","ecxwb1",0.342222513856754,6,"",""
"r_salina","B2","ecxwb2",0.113037203937417,6,"",""
"r_salina","B2","ecxll5",0.138104510794511,6,"",""
"r_salina","B2","ecxll4",0.145671329850918,6,"",""
"r_salina","B3","nec4param",0.136728499380725,6,"ecxwb1 ecxll5","ecxwb1 ecxll5"
"r_salina","B3","ecx4param",0.3281262341973,6,"ecxwb1 ecxll5","ecxwb1 ecxll5"
"r_salina","B3","ecxwb2",0.19189533592324,6,"ecxwb1 ecxll5","ecxwb1 ecxll5"
"r_salina","B3","ecxll4",0.343249930498734,6,"ecxwb1 ecxll5","ecxwb1 ecxll5"
"r_salina","C","nec4param",0.313309090056246,14,"nec3param ecxexp ecxsigm ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb2"
"r_salina","C","neclin",0.334944660368706,14,"nec3param ecxexp ecxsigm ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb2"
"r_salina","C","ecxlin",2.85666256365739e-54,14,"nec3param ecxexp ecxsigm ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb2"
"r_salina","C","ecx4param",1.74215337416383e-55,14,"nec3param ecxexp ecxsigm ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb2"
"r_salina","C","ecxwb1",1.4046102091287e-55,14,"nec3param ecxexp ecxsigm ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb2"
"r_salina","C","ecxll5",0.351746249575048,14,"nec3param ecxexp ecxsigm ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb2"
"r_salina","C","ecxll4",1.7128100756937e-55,14,"nec3param ecxexp ecxsigm ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb2"
"r_salina","C2","neclin",0.0119301753006916,14,"nec3param nec4param ecxexp ecxsigm ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","nec4param ecxwb1 ecxwb2"
"r_salina","C2","ecxlin",0.00381354177177774,14,"nec3param nec4param ecxexp ecxsigm ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","nec4param ecxwb1 ecxwb2"
"r_salina","C2","ecx4param",0.480395512012523,14,"nec3param nec4param ecxexp ecxsigm ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","nec4param ecxwb1 ecxwb2"
"r_salina","C2","ecxll4",0.503860770915008,14,"nec3param nec4param ecxexp ecxsigm ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","nec4param ecxwb1 ecxwb2"
"r_salina","D","nec4param",0.353753152710628,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb1 ecxwb2"
"r_salina","D","neclin",0.350821337886427,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb1 ecxwb2"
"r_salina","D","ecxlin",2.88595207535465e-15,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb1 ecxwb2"
"r_salina","D","ecx4param",2.45892021488592e-15,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb1 ecxwb2"
"r_salina","D","ecxll5",0.295425509402937,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb1 ecxwb2"
"r_salina","D","ecxll4",2.23129986418833e-15,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll3","ecxwb1 ecxwb2"
"r_salina","SQ","nec3param",2.1602086722741e-07,14,"neclin ecxlin ecxwb1 ecxll5","ecxwb1"
"r_salina","SQ","nec4param",0.0190346514909698,14,"neclin ecxlin ecxwb1 ecxll5","ecxwb1"
"r_salina","SQ","ecxexp",3.23332074018514e-22,14,"neclin ecxlin ecxwb1 ecxll5","ecxwb1"
"r_salina","SQ","ecxsigm",2.23548978687952e-17,14,"neclin ecxlin ecxwb1 ecxll5","ecxwb1"
"r_salina","SQ","ecx4param",0.414821437384317,14,"neclin ecxlin ecxwb1 ecxll5","ecxwb1"
"r_salina","SQ","ecxwb2",0.0193273477158088,14,"neclin ecxlin ecxwb1 ecxll5","ecxwb1"
"r_salina","SQ","ecxwb1p3",9.62763336549379e-64,14,"neclin ecxlin ecxwb1 ecxll5","ecxwb1"
"r_salina","SQ","ecxwb2p3",1.3643100172303e-10,14,"neclin ecxlin ecxwb1 ecxll5","ecxwb1"
"r_salina","SQ","ecxll4",0.546816347251606,14,"neclin ecxlin ecxwb1 ecxll5","ecxwb1"
"r_salina","SQ","ecxll3",5.90284419440658e-16,14,"neclin ecxlin ecxwb1 ecxll5","ecxwb1"
"r_salina2","A","nec4param",0.834096780126069,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","A","neclin",0.000548044749893392,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","A","ecxlin",0.0124053122347881,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","A","ecx4param",0.0438009679206679,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","A","ecxwb1",0.0147313727158989,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","A","ecxwb2",0.0619558685231655,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","A","ecxll4",0.0324616537295167,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","B1","nec4param",0.281655477183151,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","B1","neclin",4.31778483948948e-29,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
