"cell","arm","endpoint","delta","top_factor","R","sigma_ratio","truth","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","rel_bias","f_neg"
"d4.0_t2.0_R3.3_s8.1","B2","ErC10",4,2,3.3,8.09002951790214,2.01968716248917,500,1.04100992709623,0.0106462700847773,1.06782950821056,0.0109321962484659,0.906,0.0130509769749241,0.515431273927215,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","D","ErC10",4,2,3.3,8.09002951790214,2.01968716248917,500,0.153129865801705,0.00896428879814473,0.252086560837866,0.0111961157498491,0.916,0.0124051602166195,0.0758186062899859,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","B1","ErC10",4,2,3.3,8.09002951790214,2.01968716248917,500,0.303411877125375,0.0121661726057348,0.407331105319907,0.0154349364305422,0.718,0.0201234191925726,0.150227165256343,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","B3","ErC10",4,2,3.3,8.09002951790214,2.01968716248917,500,0.401896403835634,0.0136303939006141,0.504211018048077,0.0159461893890486,0.546,0.0222658482883541,0.198989433264662,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","F","ErC50",4,2,3.3,8.09002951790214,5.0532895646328,500,-0.53493268827648,0.0160738676076586,0.644266421367047,0.0121104481990813,0.8,0.0178885438199983,-0.105858309015259,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","E","ErC50",4,2,3.3,8.09002951790214,5.0532895646328,500,-0.667583428516763,0.00984088893294563,0.702845885262546,0.00911084609385292,0.236,0.0189896814085966,-0.13210868286454,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","B3","ErC50",4,2,3.3,8.09002951790214,5.0532895646328,500,-0.448675485412105,0.00973156480842035,0.498564604305611,0.00888961011034763,0.338,0.0211544794310803,-0.0887887938487269,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","E","NSEC",4,2,3.3,8.09002951790214,1.3,500,0.737502364935449,0.00926599912069062,0.765998204565778,0.0104755065753504,0.062,0.0107848041243223,0.567309511488807,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","E","ErC10",4,2,3.3,8.09002951790214,2.01968716248917,500,0.251616859321332,0.00852745037489075,0.315589973593819,0.010926583717546,0.874,0.0148407546977908,0.124582095680217,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","A","NSEC",4,2,3.3,8.09002951790214,1.3,500,0.606539988494617,0.00984692251862363,0.645193565764454,0.0104929580478057,0.198,0.0178211110764733,0.466569221918936,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","B1","ErC50",4,2,3.3,8.09002951790214,5.0532895646328,500,-0.35592540710158,0.0105124221555066,0.426412821323002,0.0091440474851843,0.512,0.0223542389716134,-0.0704343977421454,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","F","NSEC",4,2,3.3,8.09002951790214,1.3,500,1.71439642675082,0.0258325331462075,1.80890786737805,0.0303380728642418,0,0,1.31876648211602,0.151228571428571
"d4.0_t2.0_R73.0_s8.1","A","ErC10",4,2,73,8.09002951790214,2.01968716248917,500,0.0293422400594112,0.00249022899600828,0.0628918598670111,0.00302797025761344,0.982,0.005945754788082,0.0145281113849574,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","D","ErC50",4,2,73,8.09002951790214,5.0532895646328,500,-0.047997490314833,0.00294055679842007,0.0813544672688906,0.00244939466145252,0.794,0.0180866801818355,-0.00949826636707306,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","C","ErC10",4,2,73,8.09002951790214,2.01968716248917,500,0.0193162044702,0.00245386662577627,0.0581190588556524,0.00305407901380085,0.958,0.00897061870775924,0.00956395863129303,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","B2","ErC50",4,2,73,8.09002951790214,5.0532895646328,500,-0.573778951629513,0.00278727403132907,0.57714726430903,0.0027645731236214,1,0,-0.113545630878805,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","D","ErC10",4,2,73,8.09002951790214,2.01968716248917,500,0.0193890939958998,0.00245750373197465,0.0582199273249619,0.00303323391308504,0.95,0.00974679434480897,0.00960004814409164,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","B3","ErC50",4,2,73,8.09002951790214,5.0532895646328,500,-0.515065599304501,0.00269704675344754,0.518577215196402,0.0026815270263873,0,0,-0.101926792976473,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","B1","NSEC",4,2,73,8.09002951790214,1.3,500,0.609476589604026,0.00223215766999348,0.611512873682432,0.00222676968914324,0,0,0.46882814584925,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","B3","NSEC",4,2,73,8.09002951790214,1.3,500,0.683145917316299,0.00220050861309633,0.684912126616201,0.00236985919795269,0,0,0.525496859474076,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","B2","ErC10",4,2,73,8.09002951790214,2.01968716248917,500,1.00064680965037,0.00294570782111107,1.00280803634224,0.00294378752328042,0.996,0.00282276460230038,0.495446437564677,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","C","ErC50",4,2,73,8.09002951790214,5.0532895646328,500,-0.0480780191391222,0.00293628150467956,0.0813249575015487,0.00247436340647096,0.768,0.0188772879408034,-0.00951420228827037,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","E","NSEC",4,2,73,8.09002951790214,1.3,500,0.652406997191589,0.0017853901042567,0.653624901054811,0.00178330296052989,0,0,0.501851536301222,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","A","ErC50",4,2,73,8.09002951790214,5.0532895646328,500,-0.0190913073895025,0.00270464643132619,0.0633618107756142,0.00178397560929568,0.888,0.014103616557465,-0.00377799592628129,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","F","ErC10",4,2,73,8.09002951790214,2.01968716248917,500,0.317803492786641,0.0062804661734817,0.347392779789904,0.00915698223009029,0.988,0.00486949689393063,0.157352831017138,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","B1","ErC50",4,2,73,8.09002951790214,5.0532895646328,500,-0.41295542134796,0.00297214157362027,0.418258483670036,0.0029464356175032,0.002,0.00199799899899875,-0.0817201183637232,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","F","NSEC",4,2,73,8.09002951790214,1.3,500,1.1350295363102,0.00708863659139206,1.14602189503091,0.00815619087357378,0,0,0.873099643315541,0.142857142857143
