"dataset","arm","endpoint","estimate","lower","upper","n","n_censored","escalated","n_requested","n_averaged","dropped_rhat","elapsed"
"r_salina","B2","ErC50",2.38326326326326,1.14158360860861,3.74455655655656,85,0,FALSE,6,6,"",82.5124566555023
"r_salina","B2","NSEC",1.05743638236462,0.306470550899605,2.01241932361413,85,0,FALSE,6,6,"",82.5124566555023
"r_salina","B3","ErC10",4.44522222222222,3.6844994994995,4.92567867867868,85,0,FALSE,6,4,"ecxwb1 ecxll5",139.783412218094
"r_salina","B3","ErC50",5.08583083083083,5.00575475475476,5.18592592592593,85,0,FALSE,6,4,"ecxwb1 ecxll5",139.783412218094
"r_salina","B3","NSEC",3.87404681096791,1.87210223766205,4.89334424414711,85,0,FALSE,6,4,"ecxwb1 ecxll5",139.783412218094
"r_salina","C","ErC10",4.70546946946947,4.36514614614615,4.9456976976977,85,20,FALSE,14,7,"ecxwb2",329.248371124268
"r_salina","C","ErC50",5.04579279279279,5.00575475475476,5.08583083083083,85,20,FALSE,14,7,"ecxwb2",329.248371124268
"r_salina","C","NSEC",4.59320204636188,3.59762185422587,4.91373084427865,85,20,FALSE,14,7,"ecxwb2",329.248371124268
"r_salina","C2","ErC10",0.441418418418418,0.381361361361361,0.501475475475475,85,20,FALSE,14,4,"nec4param ecxwb1 ecxwb2",341.124109268188
"r_salina","C2","ErC50",2.18307307307307,1.92282582582583,2.50337737737738,85,20,FALSE,14,4,"nec4param ecxwb1 ecxwb2",341.124109268188
"r_salina","C2","NSEC",0.40296201280783,0.100790706593923,0.805779081756419,85,20,FALSE,14,4,"nec4param ecxwb1 ecxwb2",341.124109268188
"r_salina","D","ErC10",2.81325025025025,2.64311411411411,2.96837437437437,65,0,FALSE,14,6,"ecxwb1 ecxwb2",3807.70186018944
"r_salina","D","ErC50",5,5,5,65,0,FALSE,14,6,"ecxwb1 ecxwb2",3807.70186018944
"r_salina","D","NSEC",2.24437930889826,1.83077708551075,2.43984543638343,65,0,FALSE,14,6,"ecxwb1 ecxwb2",3807.70186018944
"r_salina","SQ","ErC10",3.60442342342342,3.2641001001001,4.62539339339339,85,0,FALSE,14,10,"ecxwb1",191.634010314941
