"cell","arm","endpoint","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse"
"d2.0_t0.8_R2.3_s8.1","E","ErC10",497,0.380266036898115,0.026584110977546,0.703656789369344,0.0556902448713687,0.909456740442656,0.0128718476601171
"d2.0_t1.0_R2.3_s8.1","E","ErC10",495,0.589367547385191,0.0267458781263746,0.837097994446153,0.0414290137102606,0.844444444444444,0.0162901733217062
"d2.0_t2.0_R2.3_s8.1","E","ErC10",499,0.551353106844237,0.0218352481579352,0.735816365244659,0.027793206226941,0.849699398797595,0.0159978912989565
"d4.0_t0.8_R2.3_s8.1","E","ErC10",499,0.040836678490188,0.0142065089134878,0.319650484550857,0.0247464657239841,0.953907815631262,0.00938677862974297
"d4.0_t1.0_R2.3_s8.1","E","ErC10",490,0.278754504035937,0.0164214515211024,0.457787946302237,0.0219651525786666,0.902040816326531,0.0134288132202773
"d4.0_t2.0_R17.0_s8.1","E","ErC10",462,0.246765280543259,0.00222415039629297,0.251343587982328,0.00215854833124811,0.441558441558442,0.0231026592914177
"d4.0_t2.0_R2.3_s8.1","E","ErC10",499,0.216095271155643,0.0116691216574343,0.338391828422791,0.0137178372249763,0.927855711422846,0.0115821964650757
"d4.0_t2.0_R3.3_s8.1","E","ErC10",493,0.247770692775401,0.00842187766810383,0.310301311210576,0.0108744391214806,0.874239350912779,0.0149335857795798
"d4.0_t2.0_R73.0_s8.1","E","ErC10",496,0.250037051606629,0.00141678496586763,0.252016131621952,0.00139721400870471,0.127016129032258,0.0149517390291499
"d8.0_t0.8_R2.3_s8.1","E","ErC10",494,-0.0961471978780784,0.00801798168479555,0.20233210965287,0.00760283266147488,0.951417004048583,0.00967306545282617
"d8.0_t1.0_R2.3_s8.1","E","ErC10",480,0.186504240417533,0.0102478839954571,0.291698462854748,0.0067326364885285,0.879166666666667,0.0148767603222336
"d8.0_t2.0_R2.3_s8.1","E","ErC10",500,0.0862323037190274,0.00585300133412641,0.15662236394818,0.00490764738012173,0.98,0.00626099033699941
"d2.0_t0.8_R2.3_s8.1","F","ErC10",500,0.561312809444122,0.0306365342934923,0.885116992024615,0.062869737491711,0.958,0.00897061870775924
"d2.0_t1.0_R2.3_s8.1","F","ErC10",498,1.39366688751821,0.0724706049375534,2.1336695427437,0.113258819398445,0.843373493975904,0.016286506329574
"d2.0_t2.0_R2.3_s8.1","F","ErC10",493,2.52621329441813,0.0780764150927125,3.06283357252885,0.14421791802829,0.498985801217039,0.0225188211297278
"d4.0_t0.8_R2.3_s8.1","F","ErC10",495,0.129843446521325,0.0190151172562736,0.442128052303668,0.0293112845859574,0.953535353535354,0.00946078382017284
"d4.0_t1.0_R2.3_s8.1","F","ErC10",496,0.8308196434182,0.0470108019021392,1.33574658904795,0.0570967529224205,0.770161290322581,0.0188912890197866
"d4.0_t2.0_R17.0_s8.1","F","ErC10",500,0.481198275737752,0.0132399939770341,0.564823161165,0.0224353350673696,0.916,0.0124051602166195
"d4.0_t2.0_R2.3_s8.1","F","ErC10",500,0.994893863029991,0.0398951619140952,1.3356774112137,0.0806268712123098,0.678,0.0208957411928843
"d4.0_t2.0_R3.3_s8.1","F","ErC10",500,0.796981400356614,0.0251873254126169,0.975574513747401,0.0322023371044343,0.668,0.0210606742532142
"d4.0_t2.0_R73.0_s8.1","F","ErC10",500,0.317803492786641,0.0062804661734817,0.347392779789904,0.00915698223009029,0.988,0.00486949689393063
"d8.0_t0.8_R2.3_s8.1","F","ErC10",495,0.0230879878555161,0.0121129232885825,0.270211348794214,0.0114581157758224,0.905050505050505,0.0131758953739668
"d8.0_t1.0_R2.3_s8.1","F","ErC10",497,0.550573580274289,0.0256803049229809,0.793871768940639,0.023735980450388,0.647887323943662,0.0214245829683044
"d8.0_t2.0_R2.3_s8.1","F","ErC10",500,0.173418004216288,0.0135483625747987,0.348811281765665,0.0190238339782983,0.906,0.0130509769749241
"d2.0_t0.8_R2.3_s8.1","A","ErC50",472,-0.317040058497476,0.0396944220203089,0.9179565356862,0.0335810412782123,0.75,0.0199310251294775
"d2.0_t1.0_R2.3_s8.1","A","ErC50",480,-0.367021441425009,0.0316296400152061,0.783525804000183,0.0220807076932363,0.804166666666667,0.0181132225464857
"d2.0_t2.0_R2.3_s8.1","A","ErC50",495,0.258147308402907,0.030430434484611,0.723940354061875,0.0232525704880087,0.913131313131313,0.0126588906043988
"d4.0_t0.8_R2.3_s8.1","A","ErC50",481,-0.193218596435513,0.0186738158964016,0.452454304954882,0.0144749010686615,0.750519750519751,0.019729978382767
"d4.0_t1.0_R2.3_s8.1","A","ErC50",489,-0.269428408284924,0.0138572572843487,0.407797957277779,0.0105769237694971,0.738241308793456,0.0198790349422176
"d4.0_t2.0_R17.0_s8.1","A","ErC50",498,-0.0302611867669005,0.00382895502843343,0.0905660258573532,0.00261428947524655,0.899598393574297,0.0134672832664945
"d4.0_t2.0_R2.3_s8.1","A","ErC50",495,-0.022109880667368,0.0120540885415255,0.26882627439146,0.00831149981767568,0.94949494949495,0.0098426294403511
"d4.0_t2.0_R3.3_s8.1","A","ErC50",498,-0.044357722378378,0.00844332194192877,0.193387127766767,0.00578777417334349,0.937751004016064,0.0108266793111035
"d4.0_t2.0_R73.0_s8.1","A","ErC50",498,-0.0188205201836853,0.00270859191236196,0.0632490129835848,0.00179219340522374,0.889558232931727,0.0140455643468501
"d8.0_t0.8_R2.3_s8.1","A","ErC50",487,-0.132010937313588,0.00916290877767179,0.241310819572245,0.00672241427982273,0.774127310061602,0.0189484450163804
"d8.0_t1.0_R2.3_s8.1","A","ErC50",484,-0.184886036043118,0.00645577708951699,0.233051207367397,0.00556693465022182,0.683884297520661,0.021134485015503
"d8.0_t2.0_R2.3_s8.1","A","ErC50",497,-0.0438873489224151,0.00557711374303844,0.13173375215191,0.0043926810009692,0.929577464788732,0.0114767897825852
"d2.0_t0.8_R2.3_s8.1","C","ErC50",466,-0.208731040921561,0.0399274376293589,0.885929893174257,0.0348802553786724,0.793991416309013,0.0187351685052413
"d2.0_t1.0_R2.3_s8.1","C","ErC50",480,-0.229441785778998,0.0341628024450576,0.782101674990262,0.0229002888868041,0.841666666666667,0.0166623258236013
"d2.0_t2.0_R2.3_s8.1","C","ErC50",488,0.119854696482441,0.0391040184733519,0.871233988811895,0.0283019297118157,0.829918032786885,0.0170073568725728
"d4.0_t0.8_R2.3_s8.1","C","ErC50",478,-0.172901690094484,0.0184884485901846,0.439254410625807,0.0145396385981203,0.765690376569038,0.0193734831393596
"d4.0_t1.0_R2.3_s8.1","C","ErC50",489,-0.199719622820127,0.0144238617537827,0.376052188174494,0.0108649980644498,0.79959100204499,0.0181024821476303
"d4.0_t2.0_R17.0_s8.1","C","ErC50",489,-0.0637633753853201,0.00446520336210075,0.117454382975725,0.00358390200914067,0.797546012269939,0.0181713256768826
"d4.0_t2.0_R2.3_s8.1","C","ErC50",487,-0.0334536373667507,0.0158561544316513,0.351152553267392,0.0109558004248067,0.850102669404518,0.0161758890260163
"d4.0_t2.0_R3.3_s8.1","C","ErC50",483,-0.071446825108927,0.0112289780672093,0.256671003355014,0.00809297839173746,0.821946169772257,0.0174069941304138
"d4.0_t2.0_R73.0_s8.1","C","ErC50",488,-0.0474739460977542,0.00297875576831735,0.081085878577467,0.00251688171691946,0.770491803278688,0.0190358906249034
"d8.0_t0.8_R2.3_s8.1","C","ErC50",485,-0.1284342875528,0.00908480387056947,0.237574532138201,0.00666214450062411,0.781443298969072,0.0187654908910553
"d8.0_t1.0_R2.3_s8.1","C","ErC50",485,-0.162057378999618,0.00653707684796383,0.216669210934224,0.00556313772554577,0.727835051546392,0.0202097857937328
"d8.0_t2.0_R2.3_s8.1","C","ErC50",460,-0.0510924223407752,0.00729773539469332,0.164485172427786,0.00541371339379961,0.85,0.0166485408683007
"d2.0_t0.8_R2.3_s8.1","D","ErC50",470,-0.312137319594436,0.0396995577335412,0.91465810387903,0.0337268255516201,0.753191489361702,0.0198876669638633
"d2.0_t1.0_R2.3_s8.1","D","ErC50",456,-0.27467131054054,0.0344645521602517,0.784790268565501,0.023768644628077,0.833333333333333,0.0174522461788206
"d2.0_t2.0_R2.3_s8.1","D","ErC50",379,-0.0553383141519471,0.037009013955908,0.721662315838141,0.0281245025627995,0.883905013192612,0.0164546984128064
"d4.0_t0.8_R2.3_s8.1","D","ErC50",481,-0.193218596435513,0.0186738158964016,0.452454304954882,0.0144749010686615,0.750519750519751,0.019729978382767
