"escalated","dataset","arm","model","wi","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
FALSE,"c_proliferum","D","ecxwb2",0.00473207032931609,0,0,1.00372245950888,0.189057416030137
FALSE,"c_proliferum","D","ecxll5",0.171330294492821,938,0,1.00190255194199,0.141570437524532
FALSE,"c_proliferum","D","ecxll4",0.00690314598067737,261,0,1.1733469699255,0.00137594127347117
FALSE,"c_proliferum","SQ","nec3param",0.226494570022022,0,0,1.00234557841284,0.215883693250087
FALSE,"c_proliferum","SQ","nec4param",0.187400595442507,0,0,1.00243513465945,0.295642571627291
FALSE,"c_proliferum","SQ","ecxexp",3.29219136264216e-09,0,0,1.00140712852627,0.34422601864425
FALSE,"c_proliferum","SQ","ecxsigm",0.000906250173923415,0,0,1.00234974868345,0.287949789787195
FALSE,"c_proliferum","SQ","ecx4param",3.30135943845912e-07,1642,0,1.1645328983456,0.00238259917069534
FALSE,"c_proliferum","SQ","ecxwb1",9.23549313644602e-07,2784,0,1.73644426185558,0.000763826060876191
FALSE,"c_proliferum","SQ","ecxwb2",0.582949403698207,0,0,1.00114021275443,0.297438107296185
FALSE,"c_proliferum","SQ","ecxwb1p3",3.1205051400629e-39,0,0,1.00184226073218,0.255925171399889
FALSE,"c_proliferum","SQ","ecxwb2p3",0.00215893668332477,0,0,1.00487023054497,0.115539452623022
FALSE,"c_proliferum","SQ","ecxll4",6.65607780743539e-06,1329,0,1.25191083458222,0.00145222818597909
FALSE,"c_proliferum","SQ","ecxll3",8.23309247581517e-05,0,0,1.00159039271399,0.307558800719632
FALSE,"c_proliferum2","A","nec4param",1.06457787149934e-07,0,0,1.00241521676861,0.294016857793641
FALSE,"c_proliferum2","A","neclin",0.0316109457980637,0,0,1.00145476167764,0.356264034317339
FALSE,"c_proliferum2","A","ecxlin",2.74413239277842e-30,0,0,1.00076503661675,0.402508768229649
FALSE,"c_proliferum2","A","ecx4param",0.0312116912952479,0,0,1.00334257759055,0.176898673687682
FALSE,"c_proliferum2","A","ecxwb1",0.0206828538833749,0,0,1.00310315346533,0.200578743848747
FALSE,"c_proliferum2","A","ecxwb2",0.809156954030775,0,0,1.00220864277772,0.186180780108468
FALSE,"c_proliferum2","A","ecxll5",0.070210232856857,0,0,1.00270481027157,0.211755310713321
FALSE,"c_proliferum2","A","ecxll4",0.0371272156778948,0,0,1.0025004557847,0.184640382777928
FALSE,"c_proliferum2","B1","nec4param",0.00124235560330209,0,0,1.00295475312204,0.192402947530905
FALSE,"c_proliferum2","B1","neclin",1.55362408008991e-19,0,0,1.00132608482394,0.354183017058345
FALSE,"c_proliferum2","B1","ecxlin",2.02623036368656e-19,0,0,1.00130579015821,0.396306130016387
